Participant,Condition,ReactionTime,Mistakes,
1,Congruent,9.6,0,
1,Incongruent,17.73,0, 
1,Black Ink,7.9,0,
2,Congruent,11.49,0,
2,Incongruent,18.76,0,
2,Black Ink,13.48,0,
3,Congruent,9.89,0,
3,Incongruent,21.36,0,
3,Black Ink,10.2,0,
4,Congruent,9.66,0,
4,Incongruent,18.12,0,
4,Black Ink,10.23,0,
5,Congruent,11.71,0,
5,Incongruent,25.37,0,
5,Black Ink,8.47,0,
6,Congruent,8.81,0,
6,Incongruent,19.85,0,
6,Black Ink,6.97,0,
7,Congruent,8.77,0,
7,Incongruent,24.58,1,
7,Black Ink,7.98,0,
8,Congruent,9.44,0,
8,Incongruent,21.88,2,
8,Black Ink,9.47,0,
9,Congruent,9.07,0,
9,Incongruent,15.61,1,
9,Black Ink,7.87,0,
10,Congruent,14.3,0,
10,Incongruent,26.85,0,
10,Black Ink,14.93,0,
11,Congruent,12.35,0,
11,Incongruent,23.83,0,
11,Black Ink,15.45,0,
12,Congruent,9,0,
12,Incongruent,19.08,3,
12,Black Ink,13.66,0,
13,Congruent,11.41,0,
13,Incongruent,18.76,0,
13,Black Ink,13.48,0,
14,Congruent,11.4,0,
14,Incongruent,24.33,0,
14,Black Ink,10.25,0,
15,Congruent,8.6,1,
15,Incongruent,19.31,5,
15,Black Ink,8.19,0,
16,Congruent,8.2,0,
16,Incongruent,19.8,0,
16,Black Ink,7.76,0,
17,Congruent,10.36,0,
17,Incongruent,20.3,0,
17,Black Ink,8.76,0,
18,Congruent,6.5,0,
18,Incongruent,15.48,0,
18,Black Ink,7.9,0,
19,Congruent,9.83,0,
19,Incongruent,19.05,0,
19,Black Ink,8.93,0,
20,Congruent,10.4,0,
20,Incongruent,15.91,0,
20,Black Ink,10.83,0,
21,Congruent,13.03,0,
21,Incongruent,19.08,0,
21,Black Ink,9.48,0,
22,Congruent,9.43,0,
22,Incongruent,27.91,3,
22,Black Ink,11.9,0,
23,Congruent,13.01,0,
23,Incongruent,30.5,5,
23,Black Ink,8.24,0,
24,Congruent,13.41,0,
24,Incongruent,31.18,3,
24,Black Ink,10.13,0,
25,Congruent,9.26,0,
25,Incongruent,21.01,0,
25,Black Ink,10.43,0,
26,Congruent,9.86,0,
26,Incongruent,17.96,0,
26,Black Ink,11.53,0,
27,Congruent,10.46,0,
27,Incongruent,21.88,0,
27,Black Ink,9.68,0,
28,Congruent,11,0,
28,Incongruent,23,0,
28,Black Ink,11.21,0,
29,Congruent,9.7,0,
29,Incongruent,17.86,0,
29,Black Ink,10.09,0,
30,Congruent,9.87,0,
30,Incongruent,19.3,0,
30,Black Ink,10.08,0,
32,Congruent,9.98,0,
32,Incongruent,21.06,0,
32,Black Ink,8.83,0,
37,Congruent,8.96,0,
37,Incongruent,13.98,0,
37,Black Ink,9.43,0,
38,Congruent,11.41,0,
38,Incongruent,23.86,1,
38,Black Ink,12.25,0,
39,Congruent,10.43,0,
39,Incongruent,18,0,
39,Black Ink,9.49,0,